,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,99.94588470458984,112.7860107421875,41.748565673828125,219.30999755859375,109.33000183105469,129.9499969482422,46.7599983215332,219.30999755859375,111.44000244140625,131.83999633789062,47.41999816894531,223.25,107.3499984741211,129.08999633789062,46.540000915527344,213.25999450683594,111.38999938964844,131.07000732421875,46.65999984741211,222.8699951171875,53204600,4294200,27913900,4764400
2015-01-05,97.13024139404297,112.00487518310547,41.36465835571289,210.08999633789062,106.25,129.0500030517578,46.33000183105469,210.08999633789062,108.6500015258789,129.9199981689453,46.72999954223633,216.5,105.41000366210938,128.61000061035156,46.25,207.16000366210938,108.29000091552734,129.66000366210938,46.369998931884766,214.5500030517578,64285500,5024800,39673900,5368500
2015-01-06,97.13941955566406,110.68563842773438,40.757530212402344,211.27999877929688,106.26000213623047,127.52999877929688,45.650001525878906,211.27999877929688,107.43000030517578,129.6199951171875,46.75,214.1999969482422,104.62999725341797,126.18000030517578,45.540000915527344,204.2100067138672,106.54000091552734,129.0500030517578,46.380001068115234,210.05999755859375,65797100,4992800,36447900,6261900
2015-01-07,98.50151824951172,112.40410614013672,41.27536392211914,210.9499969482422,107.75,129.50999450683594,46.22999954223633,210.9499969482422,108.19999694824219,129.97000122070312,46.459999084472656,214.77999877929688,106.69999694824219,128.72000122070312,45.4900016784668,209.77999877929688,107.19999694824219,128.74000549316406,45.97999954223633,213.35000610351562,40105900,3573200,29114100,2968400
2015-01-08,102.28618621826172,114.39167022705078,42.48960876464844,210.6199951171875,111.88999938964844,131.8000030517578,47.59000015258789,210.6199951171875,112.1500015258789,131.99000549316406,47.75,213.8000030517578,108.69999694824219,130.39999389648438,46.720001220703125,210.00999450683594,109.2300033569336,130.60000610351562,46.75,212.80999755859375,59364500,4503400,29645200,3442500
2015-01-09,102.39584350585938,114.16598510742188,42.132476806640625,206.66000366210938,112.01000213623047,131.5399932861328,47.189998626708984,206.66000366210938,113.25,132.25999450683594,47.81999969482422,209.97999572753906,110.20999908447266,130.92999267578125,46.900001525878906,204.9600067138672,112.66999816894531,131.58999633789062,47.61000061035156,208.9199981689453,53699500,3056400,23944200,4668300
2015-01-12,99.87275695800781,113.58447265625,41.605709075927734,202.2100067138672,109.25,130.8699951171875,46.599998474121094,202.2100067138672,112.62999725341797,132.25999450683594,47.540000915527344,204.47000122070312,108.80000305175781,129.9499969482422,46.36000061035156,199.25,112.5999984741211,132.24000549316406,47.41999816894531,203.0500030517578,49650800,3552700,23651900,5950300
2015-01-13,100.75951385498047,113.84484100341797,41.39142990112305,204.25,110.22000122070312,131.1699981689453,46.36000061035156,204.25,112.80000305175781,133.91000366210938,47.90999984741211,207.61000061035156,108.91000366210938,130.1699981689453,46.060001373291016,200.91000366210938,111.43000030517578,132.0,46.970001220703125,203.32000732421875,67091900,3441700,35270600,4477300
