,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA,AAPL,TSLA
Date,,,,,,,,,,,,
2015-01-02,99.94588470458984,219.30999755859375,109.33000183105469,219.30999755859375,111.44000244140625,223.25,107.3499984741211,213.25999450683594,111.38999938964844,222.8699951171875,53204600,4764400
2015-01-05,97.13024139404297,210.08999633789062,106.25,210.08999633789062,108.6500015258789,216.5,105.41000366210938,207.16000366210938,108.29000091552734,214.5500030517578,64285500,5368500
2015-01-06,97.13941955566406,211.27999877929688,106.26000213623047,211.27999877929688,107.43000030517578,214.1999969482422,104.62999725341797,204.2100067138672,106.54000091552734,210.05999755859375,65797100,6261900
2015-01-07,98.50151824951172,210.9499969482422,107.75,210.9499969482422,108.19999694824219,214.77999877929688,106.69999694824219,209.77999877929688,107.19999694824219,213.35000610351562,40105900,2968400
2015-01-08,102.28618621826172,210.6199951171875,111.88999938964844,210.6199951171875,112.1500015258789,213.8000030517578,108.69999694824219,210.00999450683594,109.2300033569336,212.80999755859375,59364500,3442500
2015-01-09,102.39584350585938,206.66000366210938,112.01000213623047,206.66000366210938,113.25,209.97999572753906,110.20999908447266,204.9600067138672,112.66999816894531,208.9199981689453,53699500,4668300
2015-01-12,99.87275695800781,202.2100067138672,109.25,202.2100067138672,112.62999725341797,204.47000122070312,108.80000305175781,199.25,112.5999984741211,203.0500030517578,49650800,5950300
2015-01-13,100.75951385498047,204.25,110.22000122070312,204.25,112.80000305175781,207.61000061035156,108.91000366210938,200.91000366210938,111.43000030517578,203.32000732421875,67091900,4477300
2015-01-14,100.37557220458984,192.69000244140625,109.80000305175781,192.69000244140625,110.48999786376953,195.1999969482422,108.5,185.0,109.04000091552734,185.8300018310547,48956600,11551900
2015-01-15,97.65131378173828,191.8699951171875,106.81999969482422,191.8699951171875,110.05999755859375,195.75,106.66000366210938,190.0,110.0,194.49000549316406,60014000,5216500
2015-01-16,96.89256286621094,193.07000732421875,105.98999786376953,193.07000732421875,107.58000183105469,194.49000549316406,105.19999694824219,189.64999389648438,107.02999877929688,190.6999969482422,78513300,3603200
2015-01-20,99.38829040527344,191.92999267578125,108.72000122070312,191.92999267578125,108.97000122070312,194.1199951171875,106.5,187.0399932861328,107.83999633789062,193.8699951171875,49899900,4503200
2015-01-21,100.14701080322266,196.57000732421875,109.55000305175781,196.57000732421875,111.05999755859375,198.67999267578125,108.2699966430664,189.50999450683594,108.94999694824219,189.5500030517578,48575900,4153000
2015-01-22,102.75240325927734,201.6199951171875,112.4000015258789,201.6199951171875,112.47000122070312,203.24000549316406,109.72000122070312,195.1999969482422,110.26000213623047,197.0,53796400,4116900
2015-01-23,103.28260803222656,201.2899932861328,112.9800033569336,201.2899932861328,113.75,203.5,111.52999877929688,198.3300018310547,112.30000305175781,200.2899932861328,46464800,3438600
2015-01-26,103.3923110961914,206.5500030517578,113.0999984741211,206.5500030517578,114.36000061035156,208.6199951171875,112.80000305175781,201.0500030517578,113.73999786376953,201.8300018310547,55615000,3234500
2015-01-27,99.77220916748047,205.97999572753906,109.13999938964844,205.97999572753906,112.4800033569336,208.02999877929688,109.02999877929688,203.3000030517578,112.41999816894531,204.4199981689453,95568700,2781000
2015-01-28,105.41262817382812,199.3699951171875,115.30999755859375,199.3699951171875,118.12000274658203,206.3699951171875,115.30999755859375,198.4199981689453,117.62999725341797,206.11000061035156,146477100,3149600
2015-01-29,108.6944808959961,205.1999969482422,118.9000015258789,205.1999969482422,119.19000244140625,205.97999572753906,115.55999755859375,196.5,116.31999969482422,201.07000732421875,84436400,3548100
2015-01-30,107.10383605957031,203.60000610351562,117.16000366210938,203.60000610351562,120.0,207.47000122070312,116.8499984741211,203.0,118.4000015258789,203.9600067138672,83745500,3007000
2015-02-02,108.44766235351562,210.94000244140625,118.62999725341797,210.94000244140625,119.16999816894531,211.9499969482422,116.08000183105469,203.3000030517578,118.05000305175781,203.97000122070312,62739100,4149200
2015-02-03,108.46593475341797,218.36000061035156,118.6500015258789,218.36000061035156,119.08999633789062,220.3699951171875,117.61000061035156,211.27000427246094,118.5,213.22000122070312,51915700,4826200
2015-02-04,109.29783630371094,218.5500030517578,119.55999755859375,218.5500030517578,120.51000213623047,221.47999572753906,118.30999755859375,216.8000030517578,118.5,218.2899932861328,70149700,3305400
2015-02-05,110.07794189453125,220.99000549316406,119.94000244140625,220.99000549316406,120.2300033569336,225.47999572753906,119.25,219.63999938964844,120.0199966430664,219.8800048828125,42246200,3522900
2015-02-06,109.1509780883789,217.36000061035156,118.93000030517578,217.36000061035156,120.25,223.39999389648438,118.44999694824219,216.5,120.0199966430664,222.0,43706600,3243900
2015-02-09,109.87602233886719,217.47999572753906,119.72000122070312,217.47999572753906,119.83999633789062,217.92999267578125,118.43000030517578,211.99000549316406,118.55000305175781,215.3800048828125,38889800,3472400
2015-02-10,111.98690032958984,216.2899932861328,122.0199966430664,216.2899932861328,122.1500015258789,220.5,120.16000366210938,215.0,120.16999816894531,217.5500030517578,62008500,5390500
2015-02-11,114.61176300048828,212.8000030517578,124.87999725341797,212.8000030517578,124.91999816894531,214.74000549316406,122.5,207.27999877929688,122.7699966430664,212.2100067138672,73561800,9769100
2015-02-12,116.06184387207031,202.8800048828125,126.45999908447266,202.8800048828125,127.4800033569336,203.08999633789062,125.56999969482422,193.27999877929688,126.05999755859375,193.57000732421875,74474500,15649600
2015-02-13,116.630859375,203.77000427246094,127.08000183105469,203.77000427246094,127.27999877929688,205.99000549316406,125.6500015258789,200.91000366210938,127.27999877929688,202.89999389648438,54272200,6191000
2015-02-17,117.3191909790039,204.35000610351562,127.83000183105469,204.35000610351562,128.8800048828125,205.6999969482422,126.91999816894531,201.5,127.48999786376953,205.6999969482422,63152400,3979600
2015-02-18,118.13603210449219,204.4600067138672,128.72000122070312,204.4600067138672,128.77999877929688,206.1699981689453,127.44999694824219,202.60000610351562,127.62999725341797,204.1699981689453,44891700,2713600
2015-02-19,117.88821411132812,211.7100067138672,128.4499969482422,211.7100067138672,129.02999877929688,212.44000244140625,128.3300018310547,203.75,128.47999572753906,205.0,37362400,5154100
2015-02-20,118.85188293457031,217.11000061035156,129.5,217.11000061035156,129.5,217.60000610351562,128.0500030517578,209.80999755859375,128.6199951171875,210.77999877929688,48948400,5982100
2015-02-23,122.06407928466797,207.33999633789062,133.0,207.33999633789062,133.0,218.1999969482422,129.66000366210938,206.3300018310547,130.02000427246094,215.66000366210938,70974100,8499800
2015-02-24,121.30231475830078,204.11000061035156,132.1699981689453,204.11000061035156,133.60000610351562,207.2899932861328,131.1699981689453,201.6999969482422,132.94000244140625,207.2899932861328,69228100,6603600
2015-02-25,118.20025634765625,203.75999450683594,128.7899932861328,203.75999450683594,131.60000610351562,207.13999938964844,128.14999389648438,202.5800018310547,131.55999755859375,204.94000244140625,74711700,3909500
2015-02-26,119.69622802734375,207.19000244140625,130.4199981689453,207.19000244140625,130.8699951171875,211.08999633789062,126.61000061035156,202.22000122070312,128.7899932861328,204.0,91287500,6472900
2015-02-27,117.89739990234375,203.33999633789062,128.4600067138672,203.33999633789062,130.57000732421875,208.5500030517578,128.24000549316406,202.8000030517578,130.0,206.89999389648438,62014800,3882100
2015-03-02,118.47557830810547,197.3300018310547,129.08999633789062,197.3300018310547,130.27999877929688,203.33999633789062,128.3000030517578,195.8300018310547,129.25,202.6999969482422,48096700,7922100
2015-03-03,118.72338104248047,199.55999755859375,129.36000061035156,199.55999755859375,129.52000427246094,200.24000549316406,128.08999633789062,195.32000732421875,128.9600067138672,196.80999755859375,37816300,4432300
2015-03-04,117.9708023071289,202.44000244140625,128.5399932861328,202.44000244140625,129.55999755859375,202.52000427246094,128.32000732421875,197.2100067138672,129.10000610351562,199.25,31666300,4222000
2015-03-05,116.01594543457031,200.6300048828125,126.41000366210938,200.6300048828125,128.75,206.19000244140625,125.76000213623047,200.14999389648438,128.5800018310547,202.85000610351562,56517100,4877000
2015-03-06,116.1903305053711,193.8800048828125,126.5999984741211,193.8800048828125,129.3699951171875,200.75,126.26000213623047,192.14999389648438,128.39999389648438,199.2100067138672,72842100,6712400
2015-03-09,116.68592071533203,190.8800048828125,127.13999938964844,190.8800048828125,129.57000732421875,194.49000549316406,125.05999755859375,188.25,127.95999908447266,194.38999938964844,88528500,6736700
2015-03-10,114.27217102050781,190.32000732421875,124.51000213623047,190.32000732421875,127.22000122070312,193.5,123.80000305175781,187.60000610351562,126.41000366210938,188.4600067138672,68856600,5579700
2015-03-11,112.1888427734375,193.74000549316406,122.23999786376953,193.74000549316406,124.7699966430664,196.17999267578125,122.11000061035156,191.00999450683594,124.75,191.14999389648438,68939000,4974900
2015-03-12,114.21710968017578,191.07000732421875,124.44999694824219,191.07000732421875,124.9000015258789,194.4499969482422,121.62999725341797,189.75,122.30999755859375,193.75,48362700,4149300
2015-03-13,113.42781829833984,188.67999267578125,123.58999633789062,188.67999267578125,125.4000015258789,191.75,122.58000183105469,187.32000732421875,124.4000015258789,188.9499969482422,51827300,5434300
2015-03-16,114.6760025024414,195.6999969482422,124.94999694824219,195.6999969482422,124.94999694824219,195.91000366210938,122.87000274658203,189.8000030517578,123.87999725341797,192.0,35874300,5628800
2015-03-17,116.5941390991211,194.72999572753906,127.04000091552734,194.72999572753906,127.31999969482422,198.7100067138672,125.6500015258789,193.94000244140625,125.9000015258789,195.42999267578125,51023100,4894100
